Unnamed: 0,id,scrape_id,host_id,latitude,longitude,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,availability_eoy,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location
4400,25509446,20250612050654,27215033,41.39467,2.17542,la Dreta de l'Eixample,Eixample,Private room in rental unit,Private room,2015-02-04,"Barcelona, Spain",within an hour,100%,97%,t,3.0,6.0,t,t,1,1.0,1 shared bath,1.0,1.0,"[""TV with standard cable"", ""Dishwasher"", ""Hangers"", ""Refrigerator"", ""Stove"", ""Elevator"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Coffee maker"", ""Smoking allowed"", ""Extra pillows and blankets"", ""Dryer"", ""Heating"", ""Paid parking off premises"", ""Host greets you"", ""Fire extinguisher"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Shower gel"", ""Bed linens"", ""Shampoo"", ""Oven"", ""Dishes and silverware"", ""Washer"", ""Essentials"", ""Microwave"", ""Hair dryer"", ""Smoke alarm"", ""Hot water"", ""Cooking basics"", ""Wifi"", ""Shared patio or balcony""]",$51.00,5,1125,6.0,7.0,1125.0,1125.0,6.1,1125.0,t,7,21,29,113,29,47,12,4,2,0.57,4.87,4.81,4.83,4.83,4.91
4600,27095636,20250612050654,96299106,41.3987,2.17309,la Dreta de l'Eixample,Eixample,Private room in loft,Private room,2016-09-22,"Barcelona, Spain",within an hour,100%,81%,f,8.0,12.0,t,t,2,1.5,1.5 baths,1.0,1.0,"[""Stainless steel oven"", ""Paid parking lot off premises"", ""Private living room"", ""Hangers"", ""Refrigerator"", ""Elevator"", ""Luggage dropoff allowed"", ""Window guards"", ""40 inch HDTV with standard cable"", ""Long term stays allowed"", ""Drying rack for clothing"", ""Ethernet connection"", ""Extra pillows and blankets"", ""Heating"", ""Room-darkening shades"", ""Pocket wifi"", ""Hot water kettle"", ""Host greets you"", ""Kitchen"", ""Teka stainless steel electric stove"", ""Macko body soap"", ""Iron"", ""Shower gel"", ""Bed linens"", ""Shampoo"", ""Dishes and silverware"", ""Dining table"", ""Cleaning available during stay"", ""Pets allowed"", ""Essentials"", ""Laundromat nearby"", ""Microwave"", ""Pack \u2019n play/Travel crib - available upon request"", ""Portable fans"", ""Hair dryer"", ""AC - split type ductless system"", ""Free washer \u2013 In unit"", ""Clothing storage: closet"", ""Hot water"", ""Cooking basics"", ""Freezer"", ""Wifi"", ""Coffee maker: drip coffee maker""]",$55.00,32,1125,32.0,32.0,1125.0,1125.0,32.0,1125.0,t,21,51,81,356,183,12,2,0,4,0.17,4.25,4.17,4.42,4.58,4.75
4800,29235420,20250612050654,7111192,41.38891,2.17874,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire rental unit,Entire home/apt,2013-06-25,"Barcelona, Spain",within an hour,100%,100%,t,1.0,2.0,t,t,3,1.0,1 bath,2.0,2.0,"[""Bed linens"", ""HDTV"", ""Oven"", ""Conditioner"", ""Coffee"", ""Hot water"", ""Room-darkening shades"", ""Private backyard \u2013 Fully fenced"", ""Books and reading material"", ""Central air conditioning"", ""Cooking basics"", ""Wifi"", ""Shampoo"", ""Microwave"", ""Hangers"", ""Clothing storage"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Baking sheet"", ""Stove"", ""Hammock"", ""Toaster"", ""Portable heater"", ""Luggage dropoff allowed"", ""Dining table"", ""Wine glasses"", ""Portable fans"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Outlet covers"", ""Host greets you"", ""Iron"", ""Outdoor dining area"", ""Outdoor furniture"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Ethernet connection"", ""Cleaning products"", ""Coffee maker"", ""Shower gel"", ""Heating - split type ductless system"", ""Single level home"", ""Drying rack for clothing"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""Blender"", ""Freezer"", ""Essentials"", ""Outdoor shower"", ""Dishwasher""]",$140.00,31,730,31.0,31.0,730.0,730.0,31.0,730.0,t,0,18,48,185,72,22,6,0,6,0.28,5.0,5.0,5.0,5.0,5.0
5000,30832921,20250612050654,7906740,41.37113,2.1344,Sants,Sants-Montjuïc,Entire rental unit,Entire home/apt,2013-08-03,"Barcelona, Spain",within an hour,100%,86%,t,6.0,6.0,t,t,2,,1 bath,1.0,,"[""Hair dryer"", ""Dryer"", ""Fire extinguisher"", ""Essentials"", ""Air conditioning"", ""Heating"", ""TV"", ""Iron"", ""Washer"", ""Indoor fireplace"", ""Hangers"", ""Shampoo"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""First aid kit"", ""Wifi"", ""Kitchen""]",,2,2,2.0,2.0,2.0,2.0,2.0,2.0,t,0,0,0,0,0,1,0,0,0,0.02,5.0,5.0,5.0,5.0,5.0
5200,32237261,20250612050654,16581062,41.38562,2.1542,l'Antiga Esquerra de l'Eixample,Eixample,Private room in rental unit,Private room,2014-06-09,"Barcelona, Spain",,,,f,2.0,2.0,t,t,2,,2 shared baths,,,"[""Bed linens"", ""Oven"", ""Indoor fireplace"", ""Hot water"", ""TV with standard cable"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Lock on bedroom door"", ""Shampoo"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Luggage dropoff allowed"", ""Dryer"", ""Extra pillows and blankets"", ""Elevator"", ""Host greets you"", ""Iron"", ""Coffee maker"", ""Patio or balcony"", ""Single level home"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""Heating"", ""Essentials"", ""Air conditioning""]",,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,0,0,0,0,0,116,0,0,0,1.51,4.84,4.93,4.98,4.95,4.85
5400,34305408,20250612050654,258723902,41.37775,2.17867,el Barri Gòtic,Ciutat Vella,Entire serviced apartment,Entire home/apt,2019-04-29,"Barcelona, Spain",within an hour,100%,100%,t,4.0,4.0,t,t,8,3.0,3 baths,3.0,6.0,"[""Bed linens"", ""Oven"", ""Dishwasher"", ""Hot water"", ""Children\u2019s dinnerware"", ""Wifi"", ""Breakfast"", ""Microwave"", ""Noise decibel monitors on property"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Free dryer \u2013 In building"", ""Stove"", ""Exterior security cameras on property"", ""Toaster"", ""Beach view"", ""Dining table"", ""Wine glasses"", ""City skyline view"", ""Hot water kettle"", ""Elevator"", ""Pack \u2019n play/Travel crib - available upon request"", ""Safe"", ""Iron"", ""Coffee maker"", ""Patio or balcony"", ""Free washer \u2013 In building"", ""Dishes and silverware"", ""Refrigerator"", ""Harbor view"", ""TV"", ""Heating"", ""Freezer"", ""Shared outdoor pool - available all year, open specific hours, rooftop"", ""Essentials"", ""Air conditioning"", ""High chair - available upon request""]",$581.00,1,30,1.0,2.0,999.0,999.0,1.2,999.0,t,12,27,45,130,130,3,0,0,2,0.05,3.33,3.33,4.0,4.0,4.33
5600,35414199,20250612050654,27576460,41.38203,2.15806,la Nova Esquerra de l'Eixample,Eixample,Entire rental unit,Entire home/apt,2015-02-11,"Barcelona, Spain",within an hour,100%,99%,t,3.0,3.0,t,t,4,2.0,2 baths,2.0,2.0,"[""Bed linens"", ""Indoor fireplace: electric"", ""Oven"", ""Coffee"", ""Babysitter recommendations"", ""Private entrance"", ""Hot water"", ""Paid parking garage off premises"", ""Room-darkening shades"", ""Books and reading material"", ""Body soap"", ""High chair"", ""Central air conditioning"", ""Crib - available upon request"", ""Cooking basics"", ""Children\u2019s dinnerware"", ""Wifi"", ""Baby monitor - available upon request"", ""48 inch HDTV"", ""Shampoo"", ""Board games"", ""Fire extinguisher"", ""Microwave"", ""Hangers"", ""First aid kit"", ""Hair dryer"", ""Long term stays allowed"", ""Bidet"", ""Kitchen"", ""Baking sheet"", ""Toaster"", ""Luggage dropoff allowed"", ""Dining table"", ""Pack \u2019n play/Travel crib"", ""Wine glasses"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Siemens gas stove"", ""Dedicated workspace"", ""Iron"", ""Smoke alarm"", ""Outdoor furniture"", ""Outdoor dining area"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Ethernet connection"", ""Children\u2019s books and toys"", ""Cleaning products"", ""Coffee maker"", ""Baby bath - available upon request"", ""Shower gel"", ""Single level home"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Laundromat nearby"", ""Refrigerator"", ""Free dryer \u2013 In unit"", ""Carbon monoxide alarm"", ""Heating"", ""Freezer"", ""Essentials"", ""Dishwasher""]",$100.00,32,1125,32.0,32.0,1125.0,1125.0,32.0,1125.0,t,0,0,5,209,75,31,8,0,7,0.43,5.0,5.0,5.0,5.0,4.97
5800,36664264,20250612050654,124030357,41.40727,2.19306,Provençals del Poblenou,Sant Martí,Private room in rental unit,Private room,2017-04-03,"Barcelona, Spain",,,,f,1.0,3.0,t,t,1,,1 shared bath,3.0,,"[""Wifi"", ""Washer"", ""Breakfast"", ""Shampoo"", ""Microwave"", ""Hangers"", ""First aid kit"", ""Hair dryer"", ""Cleaning available during stay"", ""Long term stays allowed"", ""Kitchen"", ""Dryer"", ""Elevator"", ""Host greets you"", ""Smoke alarm"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Essentials""]",,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,0,0,0,0,0,0,0,0,0,,,,,,
6000,37589692,20250612050654,120547913,41.40362,2.167,el Camp d'en Grassot i Gràcia Nova,Gràcia,Private room in rental unit,Private room,2017-03-13,"Barcelona, Spain",,,,f,3.0,5.0,t,t,2,,1 shared bath,,,"[""Smoking allowed"", ""Wifi"", ""Shampoo"", ""Elevator"", ""Dedicated workspace"", ""Hangers"", ""First aid kit"", ""Kitchen"", ""Essentials"", ""Pets allowed""]",,2,5,2.0,2.0,5.0,5.0,2.0,5.0,t,0,0,0,0,0,4,0,0,0,0.06,4.25,4.0,4.5,5.0,4.5
6200,39480576,20250612050654,303270614,41.41365,2.22033,el Besòs i el Maresme,Sant Martí,Private room in rental unit,Private room,2019-10-19,,,,,f,1.0,1.0,t,f,2,,1 private bath,,,"[""Beach access \u2013 Beachfront"", ""Wifi"", ""Lock on bedroom door"", ""Private living room"", ""Shampoo"", ""Dishes and silverware"", ""Hangers"", ""Iron"", ""Hair dryer"", ""Heating"", ""Essentials"", ""Air conditioning""]",,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,,0,0,0,0,0,2,0,0,0,0.03,4.5,5.0,4.5,5.0,5.0
6400,40077922,20250612050654,1447144,41.40734,2.18019,la Sagrada Família,Eixample,Entire rental unit,Entire home/apt,2011-11-27,"Barcelona, Spain",within an hour,87%,28%,f,356.0,565.0,t,t,5,2.0,2 baths,3.0,4.0,"[""Bed linens"", ""Oven"", ""Private entrance"", ""Hot water"", ""Room-darkening shades"", ""High chair"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Stove"", ""Extra pillows and blankets"", ""Elevator"", ""Crib"", ""Iron"", ""Coffee maker"", ""Patio or balcony"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Essentials"", ""Air conditioning""]",$286.00,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,30,60,90,191,140,0,0,0,0,,,,,,
6600,41518092,20250612050654,1447144,41.38434,2.17921,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire rental unit,Entire home/apt,2011-11-27,"Barcelona, Spain",within an hour,87%,28%,f,356.0,565.0,t,t,4,1.0,1 bath,3.0,4.0,"[""Bed linens"", ""Oven"", ""Dishwasher"", ""Private entrance"", ""Hot water"", ""High chair"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Microwave"", ""Fire extinguisher"", ""Hangers"", ""Clothing storage"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Stove"", ""Toaster"", ""Luggage dropoff allowed"", ""Dining table"", ""Pack \u2019n play/Travel crib"", ""Wine glasses"", ""Extra pillows and blankets"", ""Elevator"", ""Crib"", ""Dedicated workspace"", ""Iron"", ""Coffee maker"", ""Shared beach access"", ""Patio or balcony"", ""Drying rack for clothing"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Freezer"", ""Essentials"", ""Air conditioning""]",$366.00,2,330,2.0,2.0,330.0,330.0,2.0,330.0,t,30,60,90,365,193,2,0,0,0,0.06,4.5,4.0,5.0,5.0,5.0
6800,42400775,20250612050654,121118160,41.3812,2.14995,la Nova Esquerra de l'Eixample,Eixample,Private room in rental unit,Private room,2017-03-16,"Barcelona, Spain",,,,f,1.0,2.0,t,t,1,,1 shared bath,,,"[""Cooking basics"", ""Patio or balcony"", ""Wifi"", ""Washer"", ""Oven"", ""Kitchen"", ""Shampoo"", ""Microwave"", ""Elevator"", ""Dishes and silverware"", ""Refrigerator"", ""Hangers"", ""Hair dryer"", ""Iron"", ""Hot water"", ""TV"", ""Essentials"", ""Heating""]",,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,0,0,0,0,0,14,0,0,0,0.24,4.86,5.0,4.93,5.0,4.86
7000,43795980,20250612050654,66296022,41.37711,2.19012,la Barceloneta,Ciutat Vella,Entire rental unit,Entire home/apt,2016-04-08,"Barcelona, Spain",within an hour,100%,77%,t,69.0,110.0,t,t,2,,1 bath,1.0,,"[""Hangers"", ""Refrigerator"", ""Long term stays allowed"", ""Beach access \u2013 Beachfront"", ""Heating"", ""Private entrance"", ""Clothing storage"", ""Private patio or balcony"", ""Kitchen"", ""Air conditioning"", ""Bed linens"", ""Paid parking garage off premises"", ""Oven"", ""Dishes and silverware"", ""Dining table"", ""Washer"", ""TV"", ""Essentials"", ""Microwave"", ""Hair dryer"", ""Hot water"", ""Cooking basics"", ""Wifi""]",,32,330,32.0,32.0,330.0,330.0,32.0,330.0,t,0,0,0,0,0,2,0,0,0,0.06,4.0,5.0,4.0,5.0,5.0
7200,44298570,20250612050654,39169031,41.38746,2.18061,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire rental unit,Entire home/apt,2015-07-21,Spain,within an hour,100%,80%,f,7.0,18.0,t,t,3,1.0,1 bath,2.0,4.0,"[""TV with standard cable"", ""Hangers"", ""Dedicated workspace"", ""Refrigerator"", ""Stove"", ""Long term stays allowed"", ""Coffee maker"", ""Heating"", ""Private entrance"", ""Fire extinguisher"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Oven"", ""Dishes and silverware"", ""Dining table"", ""Ceiling fan"", ""Laundromat nearby"", ""Microwave"", ""Patio or balcony"", ""Free washer \u2013 In unit"", ""Hot water"", ""Cooking basics"", ""Freezer"", ""Wifi""]",$75.00,30,350,4.0,31.0,350.0,350.0,30.6,350.0,t,3,3,7,112,109,5,0,0,2,0.1,4.0,4.0,4.4,4.2,4.6
7400,46079657,20250612050654,265193861,41.37382,2.13679,Sants,Sants-Montjuïc,Entire rental unit,Entire home/apt,2019-05-30,"Barcelona, Spain",within an hour,93%,98%,f,166.0,175.0,t,t,7,2.0,2 baths,3.0,6.0,"[""Bed linens"", ""Self check-in"", ""Hot water"", ""Smart lock"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Shampoo"", ""Fire extinguisher"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Crib"", ""Dedicated workspace"", ""Paid parking lot off premises"", ""Iron"", ""Coffee maker"", ""Shower gel"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Essentials"", ""Air conditioning""]",$441.00,2,150,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,20,39,63,336,163,52,27,1,21,1.0,4.67,4.71,4.75,4.69,4.81
7600,47466120,20250612050654,265147782,41.40538,2.14213,el Putxet i el Farró,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,2019-05-30,,within a day,80%,85%,f,36.0,100.0,t,t,2,,1 bath,1.0,,"[""Dishwasher"", ""Hangers"", ""Refrigerator"", ""Coffee maker"", ""Wine glasses"", ""Heating"", ""Hot water kettle"", ""Fire extinguisher"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Oven"", ""Dishes and silverware"", ""Washer"", ""TV"", ""Essentials"", ""Microwave"", ""Hair dryer"", ""Hot water"", ""Cooking basics"", ""Freezer"", ""Wifi""]",,60,300,60.0,60.0,300.0,300.0,60.0,300.0,t,0,0,0,0,0,1,0,0,0,0.02,5.0,5.0,5.0,4.0,5.0
7800,49848598,20250612050654,401987097,41.38355,2.14174,Sants,Sants-Montjuïc,Private room in rental unit,Private room,2021-05-17,"Barcelona, Spain",within an hour,100%,71%,t,5.0,12.0,t,t,8,2.0,2 baths,2.0,3.0,"[""Smoking allowed"", ""Baby bath"", ""Private entrance"", ""Cooking basics"", ""Children\u2019s dinnerware"", ""Wifi"", ""Washer"", ""Shampoo"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Free parking on premises"", ""City skyline view"", ""Dedicated workspace"", ""Iron"", ""Children\u2019s books and toys"", ""Coffee maker"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Essentials"", ""Air conditioning""]",$240.00,32,1125,32.0,32.0,1125.0,1125.0,32.0,1125.0,t,29,59,89,364,192,0,0,0,0,,,,,,
8000,50988791,20250612050654,5264883,41.39189,2.16586,la Dreta de l'Eixample,Eixample,Entire serviced apartment,Entire home/apt,2013-02-28,"Barcelona, Spain",within a few hours,95%,88%,f,47.0,91.0,t,t,4,2.0,2 baths,2.0,2.0,"[""Freezer"", ""Private entrance"", ""Bed linens"", ""Refrigerator"", ""Elevator"", ""Essentials"", ""Heating"", ""Induction stove"", ""Hangers"", ""Body soap"", ""Oven"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Iron"", ""Wifi"", ""Free washer \u2013 In unit"", ""Shampoo"", ""Hair dryer"", ""Dryer"", ""Dishes and silverware"", ""Air conditioning"", ""TV"", ""Kitchen"", ""Microwave""]",$301.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,t,22,52,82,349,173,90,22,0,34,2.12,4.93,4.93,4.89,4.94,4.97
8200,52098427,20250612050654,329237362,41.38338,2.17932,el Barri Gòtic,Ciutat Vella,Entire rental unit,Entire home/apt,2020-01-20,,within an hour,100%,100%,,6.0,9.0,t,t,6,3.0,3 baths,3.0,3.0,"[""Dishwasher"", ""Hangers"", ""Dedicated workspace"", ""Refrigerator"", ""Stove"", ""Outdoor dining area"", ""Elevator"", ""Luggage dropoff allowed"", ""Coffee"", ""Body soap"", ""Ethernet connection"", ""Extra pillows and blankets"", ""Heating"", ""Wine glasses"", ""Room-darkening shades"", ""Hot water kettle"", ""Host greets you"", ""Outdoor furniture"", ""Clothing storage"", ""Fire extinguisher"", ""Private patio or balcony"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Cleaning products"", ""Oven"", ""Toaster"", ""Dishes and silverware"", ""Dining table"", ""TV"", ""Pets allowed"", ""Essentials"", ""Laundromat nearby"", ""Free dryer \u2013 In unit"", ""Microwave"", ""Hair dryer"", ""Bidet"", ""Free washer \u2013 In unit"", ""Hot water"", ""Cooking basics"", ""Freezer"", ""Wifi"", ""Coffee maker: drip coffee maker""]",$858.00,2,365,2.0,2.0,365.0,365.0,2.0,365.0,t,10,21,35,58,58,163,57,4,71,3.68,4.91,4.94,4.94,4.9,4.93
8400,52710705,20250612050654,220949687,41.40488,2.13927,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,Private room in rental unit,Private room,2018-10-16,"Barcelona, Spain",within a day,70%,63%,f,2.0,4.0,t,t,1,1.5,1.5 shared baths,2.0,3.0,"[""Bed linens"", ""Conditioner"", ""Private living room"", ""Hot water"", ""Room-darkening shades"", ""Books and reading material"", ""Breakfast"", ""Glicerina body soap"", ""Hangers"", ""Hair dryer"", ""Bidet"", ""Bathtub"", ""Dryer"", ""Extra pillows and blankets"", ""Host greets you"", ""Iron"", ""Pets allowed"", ""Cleaning products"", ""Coffee maker"", ""Shower gel"", ""Dishes and silverware"", ""Refrigerator"", ""Heating"", ""Essentials""]",$30.00,31,365,31.0,31.0,365.0,365.0,31.0,365.0,t,30,60,90,365,192,5,0,0,0,0.11,4.6,4.4,4.8,4.8,4.6
8600,53469118,20250612050654,432137725,41.37866,2.14934,la Nova Esquerra de l'Eixample,Eixample,Room in hotel,Private room,2021-11-16,,within an hour,100%,100%,f,5.0,5.0,t,t,2,1.0,1 private bath,1.0,1.0,"[""Elevator"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Body soap"", ""Extra pillows and blankets"", ""Heating"", ""Fire extinguisher"", ""Paid parking on premises"", ""Air conditioning"", ""First aid kit"", ""Shower gel"", ""Bed linens"", ""Shampoo"", ""Building staff"", ""TV"", ""Self check-in"", ""Cleaning available during stay"", ""Essentials"", ""Safe"", ""Hair dryer"", ""Smoke alarm"", ""Bathtub"", ""Hot water"", ""Wifi"", ""Shared patio or balcony""]",$201.00,1,365,1.0,3.0,6.0,6.0,1.1,6.0,t,30,60,89,273,189,537,180,5,143,12.54,4.53,4.55,4.57,4.66,4.6
8800,543977166959744024,20250612050654,61360206,41.38977,2.17599,la Dreta de l'Eixample,Eixample,Entire rental unit,Entire home/apt,2016-03-03,"Barcelona, Spain",within a few hours,94%,82%,t,18.0,67.0,t,t,4,2.0,2 baths,2.0,4.0,"[""Coffee"", ""Sun loungers"", ""Dishwasher"", ""Indoor fireplace"", ""Hot water"", ""High chair"", ""Paid parking on premises"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Courtyard view"", ""Backyard"", ""Single oven"", ""Shampoo"", ""Fire extinguisher"", ""Microwave"", ""Hangers"", ""Other electric stove"", ""Hair dryer"", ""Kitchen"", ""Hammock"", ""Toaster"", ""Luggage dropoff allowed"", ""Pack \u2019n play/Travel crib"", ""Wine glasses"", ""Dryer"", ""City skyline view"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Crib"", ""Window guards"", ""Dedicated workspace"", ""Host greets you"", ""Safe"", ""Iron"", ""Smoke alarm"", ""Outdoor furniture"", ""Outdoor dining area"", ""Pets allowed"", ""Cleaning products"", ""Coffee maker"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Carbon monoxide alarm"", ""Freezer"", ""Essentials"", ""Air conditioning""]",$457.00,2,365,1.0,2.0,365.0,365.0,2.0,365.0,t,10,32,62,326,154,17,5,1,2,0.42,5.0,5.0,4.94,5.0,4.94
